cut_com;comuna;provincia;region;estado;plan_url;decreto_url
15101;Arica;Arica;"Arica y Parinacota";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/305;https://cambioclimatico.mma.gob.cl/recursos/view/143
15102;Camarones;Arica;"Arica y Parinacota";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/306;
15202;"General Lagos";Parinacota;"Arica y Parinacota";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/144;
15201;Putre;Parinacota;"Arica y Parinacota";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/307;
01107;"Alto Hospicio";Iquique;Tarapacá;"En proceso";;
01402;Camiña;"El Tamarugal";Tarapacá;"En proceso";;
01403;Colchane;"El Tamarugal";Tarapacá;"Sin información";;
01404;Huara;"El Tamarugal";Tarapacá;"En proceso";;
01101;Iquique;Iquique;Tarapacá;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/308;
01405;Pica;"El Tamarugal";Tarapacá;"En proceso";;
01401;"Pozo Almonte";"El Tamarugal";Tarapacá;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/309;
02101;Antofagasta;Antofagasta;Antofagasta;"En proceso";;
02201;Calama;"El Loa";Antofagasta;"En proceso";;
02302;"María Elena";Tocopilla;Antofagasta;"En proceso";;
02102;Mejillones;Antofagasta;Antofagasta;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/310;
02202;Ollagüe;"El Loa";Antofagasta;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/311;
02203;"San Pedro de Atacama";"El Loa";Antofagasta;"En proceso";;
02103;"Sierra Gorda";Antofagasta;Antofagasta;"En proceso";;
02104;Taltal;Antofagasta;Antofagasta;"En proceso";;
02301;Tocopilla;Tocopilla;Antofagasta;"En proceso";;
03302;"Alto del Carmen";Huasco;Atacama;"En proceso";;
03102;Caldera;Copiapó;Atacama;"En proceso";;
03201;Chañaral;Chañaral;Atacama;"En proceso";;
03101;Copiapó;Copiapó;Atacama;"En proceso";;
03202;"Diego de Almagro";Chañaral;Atacama;"En proceso";;
03303;Freirina;Huasco;Atacama;"En proceso";;
03304;Huasco;Huasco;Atacama;"En proceso";;
03103;"Tierra Amarilla";Copiapó;Atacama;"En proceso";;
03301;Vallenar;Huasco;Atacama;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/312;https://cambioclimatico.mma.gob.cl/recursos/view/151
04103;Andacollo;Elqui;Coquimbo;"En proceso";;
04202;Canela;Choapa;Coquimbo;"En proceso";;
04302;Combarbalá;Limarí;Coquimbo;"En proceso";;
04102;Coquimbo;Elqui;Coquimbo;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/303;
04201;Illapel;Choapa;Coquimbo;"En proceso";;
04104;"La Higuera";Elqui;Coquimbo;"En proceso";;
04101;"La Serena";Elqui;Coquimbo;"En proceso";;
04203;"Los Vilos";Choapa;Coquimbo;"En proceso";;
04303;"Monte Patria";Limarí;Coquimbo;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/301;
04301;Ovalle;Limarí;Coquimbo;"En proceso";;
04105;Paiguano;Elqui;Coquimbo;"En proceso";;
04304;Punitaqui;Limarí;Coquimbo;"En proceso";;
04305;"Río Hurtado";Limarí;Coquimbo;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/299;
04204;Salamanca;Choapa;Coquimbo;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/460;
04106;Vicuña;Elqui;Coquimbo;"En proceso";;
05602;Algarrobo;"San Antonio";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/323;
05402;Cabildo;Petorca;Valparaíso;"En proceso";;
05502;Calera;Quillota;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/419;
05302;"Calle Larga";"Los Andes";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/246;https://cambioclimatico.mma.gob.cl/recursos/view/155
05603;Cartagena;"San Antonio";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/324;https://cambioclimatico.mma.gob.cl/recursos/view/160
05102;Casablanca;Valparaíso;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/318;
05702;Catemu;"San Felipe de Aconcagua";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/434;
05103;Concón;Valparaíso;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/314;
05604;"El Quisco";"San Antonio";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/325;
05605;"El Tabo";"San Antonio";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/354;
05503;Hijuelas;Quillota;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/321;
05201;"Isla de Pascua";"Isla de Pascua";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/177;
05104;"Juan Fernández";Valparaíso;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/248;
05504;"La Cruz";Quillota;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/435;
05401;"La Ligua";Petorca;Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/416;
05802;Limache;"Marga Marga";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/329;
05703;Llaillay;"San Felipe de Aconcagua";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/244;
05301;"Los Andes";"Los Andes";Valparaíso;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/317;
