Región;Comunas;Nivel de planificación;Tipo de planificación;Clasificación;Denominación;Estado;Fecha de inicio de vigencia;Fecha de derogación;Fecha de último hito cumplido;Fecha de desestimiento;Modificación de Límite Urbano;Evaluación Ambiental Estratégica (EAE);Fecha de inicio de EAE;Fecha de término de EAE;Consulta Indígena;Códigos de instrumentos de origen que afecta
METROPOLITANA DE SANTIAGO;CERRILLOS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santiago;Vigente;31-07-1939;;;;Sin información;Sin información;;;Sin información;1479, 2331
METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santiago;Vigente;08-08-1939;;;;Sin información;Sin información;;;Sin información;2615, 1987, 1915, 1950, 2337
LOS RÍOS;LANCO;Comunal;PRC;Instrumento de origen;Plano General de Edificación y Urbanización de Malalhue;Vigente;31-12-1943;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;QUILLOTA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quillota;Vigente;10-12-1947;;;;Procede;No procede;;;No procede;391, 393, 394, 395, 396, 547, 2740, 2680
METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Miguel para PAC;Vigente;16-06-1951;;;;Sin información;Sin información;;;Sin información;2322, 1746, 1713, 1779, 1718, 1719, 1720
METROPOLITANA DE SANTIAGO;LA PINTANA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Granja para La Pintana;Vigente;22-10-1952;;;;Sin información;Sin información;;;Sin información;2628, 1669, 1668, 1670, 1671
METROPOLITANA DE SANTIAGO;SAN RAMON;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Granja para San Ramón;Vigente;22-10-1952;;;;Sin información;Sin información;;;Sin información;2328
LA ARAUCANÍA;SAAVEDRA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Puerto Saavedra;Vigente;06-01-1964;;;;Sin información;Sin información;;;Sin información;1177
METROPOLITANA DE SANTIAGO;CERRILLOS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Maipú;Vigente;20-09-1965;;;;Sin información;Sin información;;;Sin información;2331
METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Maipú;Vigente;28-09-1965;;;;Sin información;Sin información;;;Sin información;2615, 2190, 2252, 2258, 2280, 2181, 2191, 2169
LA ARAUCANÍA;TEMUCO, VILCUN;Comunal;PRC;Instrumento de origen;Aprueba Plano Regulador, ordenanza local y límite urbano de Cajón.;Vigente;18-10-1966;;;;Sin información;Sin información;;;Sin información;1175
LA ARAUCANÍA;FREIRE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Freire;Vigente;18-10-1966;;;;Sin información;Sin información;;;Sin información;1168
LOS LAGOS;RIO NEGRO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Río Negro;Vigente;04-11-1966;;;;Sin información;Sin información;;;Sin información;
TARAPACÁ;HUARA;Comunal;PRC;Instrumento de origen;Plano Regulador de Pisagua;Vigente;10-11-1966;;;;Sin información;Sin información;;;Sin información;25, 26
ÑUBLE;SAN FABIÁN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Fabián;Vigente;12-01-1967;;;;Sin información;Sin información;;;Sin información;2452, 2453, 2454
MAULE;VICHUQUEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Vichuquén;Vigente;08-09-1967;;;;No procede;No procede;;;No procede;2669, 818, 819, 820, 3211, 3210
LOS LAGOS;PURRANQUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Purranque;Vigente;12-01-1968;;;;Sin información;Sin información;;;Sin información;1187, 1249, 1250, 1292, 1195
METROPOLITANA DE SANTIAGO;PEÑAFLOR;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Peñaflor;Vigente;26-02-1970;;;;Sin información;Sin información;;;Sin información;1677, 2120, 2124, 2036, 2941, 1630
VALPARAÍSO;ISLA DE PASCUA;Comunal;PRC;Instrumento de origen;Plan Regulador y Límite Urbano Hanga Roa, Isla de Pascua;Vigente;30-06-1971;;;;Sin información;Sin información;;;Sin información;3267, 556
METROPOLITANA DE SANTIAGO;EL BOSQUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Bernardo;Vigente;06-10-1976;;;;Sin información;Sin información;;;Sin información;3271, 2335
LOS RÍOS;VALDIVIA;Comunal;PRC;Instrumento de origen;Plan Regulador de Niebla;Vigente;28-12-1977;;;;Sin información;Sin información;;;Sin información;2645
LA ARAUCANÍA;LONQUIMAY;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Villa Portales;Vigente;13-09-1978;;;;Sin información;Sin información;;;Sin información;1140, 1161
VALPARAÍSO;LA LIGUA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Ligua;Vigente;17-12-1980;;;;Sin información;Sin información;;;Sin información;539
ATACAMA;VALLENAR;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Vallenar;Vigente;06-02-1982;;;;Sin información;Sin información;;;Sin información;140, 141, 142, 150
BIOBÍO;CURANILAHUE;Comunal;PRC;Instrumento de origen;Plan Regulador de Curanilahue;Vigente;27-05-1982;;;;No procede;No procede;;;No procede;917, 918, 919, 920, 921, 922, 1027
VALPARAÍSO;OLMUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Olmué;Vigente;23-09-1982;;;;Procede;No procede;;;No procede;503, 504, 505, 558
LA ARAUCANÍA;PADRE LAS CASAS;Comunal;PRC;Instrumento de origen;Zona F Plan Regulador Comunal de Temuco (Decreto N°100 del 14-07-1983);Vigente;14-07-1983;;;;Sin información;Sin información;;;Sin información;
BIOBÍO;LOTA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Lota;Vigente;01-09-1983;;;;No procede;No procede;;;No procede;956, 957, 958, 959
METROPOLITANA DE SANTIAGO;EL BOSQUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Cisterna;Vigente;18-10-1983;;;;Sin información;Sin información;;;Sin información;1794, 1759, 3271, 2335
METROPOLITANA DE SANTIAGO;LO ESPEJO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Cisterna para Lo Espejo;Vigente;18-10-1983;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Cisterna para PAC;Vigente;18-10-1983;;;;Sin información;Sin información;;;Sin información;2322
LA ARAUCANÍA;PITRUFQUEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pitrufquén;Vigente;31-01-1984;;;;Sin información;Sin información;;;Sin información;1096, 1098, 1171
VALPARAÍSO;PUTAENDO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Putaendo;Vigente;08-03-1984;;;;Sin información;Sin información;;;Sin información;543
VALPARAÍSO;VALPARAISO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Valparaiso;Vigente;10-04-1984;;;;Procede;No procede;;;No procede;283, 284, 286, 285, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 301, 551, 282, 3159, 2995, 3108, 3158, 3107, 3106, 3109, 3104, 3105, 2987, 2964, 2960, 2962, 2963, 2961, 2937, 2854, 2855, 2750, 2751, 2753, 2752, 2682, 2683, 2685, 2684
VALPARAÍSO;QUINTERO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quintero;Vigente;08-05-1984;;;;Sin información;Sin información;;;Sin información;316, 559, 2851, 2672
TARAPACÁ;POZO ALMONTE;Comunal;PRC;Instrumento de origen;Plan Regulador de Pozo Almonte;Vigente;15-05-1984;;;;No procede;No procede;;;No procede;21, 29
VALPARAÍSO;SANTA MARIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santa María;Vigente;19-05-1984;;;;Procede;No procede;;;No procede;542
VALPARAÍSO;HIJUELAS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Hijuelas;Vigente;04-06-1984;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;NOGALES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Nogales;Vigente;09-08-1984;;;;Sin información;Sin información;;;Sin información;557
VALPARAÍSO;LIMACHE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Limache;Vigente;18-01-1985;;;;Sin información;Sin información;;;Sin información;3286, 502, 548, 3058
METROPOLITANA DE SANTIAGO;QUILICURA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quilicura;Vigente;08-05-1985;;;;Sin información;Sin información;;;Sin información;1989, 1992, 2325
VALPARAÍSO;CATEMU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Catemu;Vigente;11-08-1985;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;LOS VILOS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal Los Vilos;Vigente;11-01-1986;;;;Sin información;Sin información;;;Sin información;216, 217, 238, 2924, 2922, 2923
VALPARAÍSO;PANQUEHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Panquehue;Vigente;16-05-1986;;;;Sin información;Sin información;;;Sin información;
MAGALLANES Y ANTÁRTICA CHILENA;NATALES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Natales, localidad de Puerto Natales;Vigente;07-07-1987;;;;No procede;No procede;;;No procede;1376, 3016
ARICA Y PARINACOTA;PUTRE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Putre;Vigente;04-11-1987;;;;Procede;No procede;;;Procede;2538
LIBERTADOR GENERAL BERNARDO O'HIGGINS;LAS CABRAS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Las Cabras;Vigente;03-12-1987;;;;Sin información;Sin información;;;Sin información;
MAULE;CONSTITUCION;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Constitución;Vigente;06-02-1988;;;;Procede;No procede;;;No procede;2931, 781, 2928, 782, 783, 2929, 2930, 3218, 3221, 3220, 3219, 3222, 3223
MAGALLANES Y ANTÁRTICA CHILENA;CABO DE HORNOS;Comunal;PRC;Instrumento de origen;Plan Regulador Puerto Williams;Vigente;08-02-1988;;;;No procede;No procede;;;No procede;2627, 1393
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PLACILLA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Placilla;Vigente;11-02-1988;;;;Sin información;Sin información;;;Sin información;748
LA ARAUCANÍA;LAUTARO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Lautaro;Vigente;19-02-1988;;;;Sin información;Sin información;;;Sin información;1083
LOS LAGOS;LLANQUIHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Llanquihue;Vigente;04-03-1988;;;;Sin información;Sin información;;;Sin información;1204, 1242
BIOBÍO;ARAUCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Arauco;Vigente;24-03-1988;;;;No procede;No procede;;;No procede;868, 869, 870, 871, 872
LA ARAUCANÍA;NUEVA IMPERIAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Nueva Imperial;Vigente;23-04-1988;;;;Sin información;Sin información;;;Sin información;1170
LIBERTADOR GENERAL BERNARDO O'HIGGINS;DOÑIHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Doñihue_Localidades de Doñihue y Lo Miranda;Vigente;03-05-1988;;;;Sin información;Sin información;;;Sin información;743
METROPOLITANA DE SANTIAGO;MELIPILLA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Melipilla;Vigente;06-06-1988;;;;Sin información;Sin información;;;Sin información;1944, 1954, 2066, 1766, 1823, 1832, 2099, 1710, 2072, 1674, 2038, 1881, 3301, 1986, 3276, 2198, 1762, 2282, 2281
COQUIMBO;SALAMANCA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Salamanca;Vigente;08-10-1988;;;;Procede;No procede;;;No procede;2867, 207, 241, 2926, 2925
LIBERTADOR GENERAL BERNARDO O'HIGGINS;SANTA CRUZ;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santa Cruz;Vigente;10-10-1988;;;;Sin información;Sin información;;;Sin información;729, 730, 733, 734, 737, 754, 731
LOS RÍOS;VALDIVIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Valdivia;Vigente;03-11-1988;;;;Sin información;Sin información;;;Sin información;2567, 2568, 2569, 2570, 2571, 2572, 2573, 2575, 2574, 2576, 2578, 2577, 2579, 2580, 2581, 2582, 2583, 2584, 2585, 2586, 2587, 2588, 2589, 2590, 2591, 2592, 2645
LOS LAGOS;PALENA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Palena;Vigente;23-01-1989;;;;Sin información;Sin información;;;Sin información;1306
LA ARAUCANÍA;CARAHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Carahue;Vigente;05-04-1989;;;;Sin información;Sin información;;;Sin información;1067, 1066, 1178
LA ARAUCANÍA;CURACAUTIN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Curacautín;Vigente;04-05-1989;;;;Sin información;Sin información;;;Sin información;1135
BIOBÍO;MULCHEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Mulchén;Vigente;26-06-1989;;;;No procede;No procede;;;No procede;961, 962
METROPOLITANA DE SANTIAGO;PEÑALOLEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Peñalolén;Vigente;27-07-1989;;;;Sin información;Sin información;;;Sin información;2116, 2018, 1807, 1685, 1734, 1804, 1805, 1806, 1865, 1866, 1661, 1663, 1658, 1660, 1657, 1659, 1662, 3281, 2323
METROPOLITANA DE SANTIAGO;ÑUÑOA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ñuñoa;Vigente;11-12-1989;;;;Sin información;Sin información;;;Sin información;1694, 1725, 1750, 1631, 1714, 2027, 1869, 2158, 1691, 1701, 1615, 1650, 2049, 1737, 2105, 1777, 2087, 1647, 3277, 3278, 1849, 1875, 2057, 1913
METROPOLITANA DE SANTIAGO;SANTIAGO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santiago;Vigente;27-01-1990;;;;Sin información;Sin información;;;Sin información;2041, 2028, 2126, 2143, 2370, 2037, 1793, 1853, 2221, 2075, 2157, 2048, 1928, 2371, 1792, 2372, 1969, 1863, 2373, 1897, 2130, 2129, 1850, 1612, 1639, 1776, 1803, 1824, 2076, 1751, 2144, 2112, 1856, 1699, 1700, 1742, 1958, 2156, 2237, 2031, 1736, 1784, 1695, 1835, 1901, 1703, 2077, 1925, 2232, 2013, 2248, 2070, 2133, 2039, 1796, 2315, 1949, 2081, 2187, 2193
